Country,Wind_2022,Solar_2022,Hydro_2022,OtherRenewables_2022,Wind_2023,Solar_2023,Hydro_2023,OtherRenewables_2023
Canada,38.37638686868687,7.050284480328093,397.72524141414146,9.123262105263159,38.93629343281175,7.6416020021626005,364.1964974525872,10.384484193294151
Mexico,20.52875,20.34204,35.55885,6.69662016,21.650982105583186,27.14334893560024,20.39942815094823,7.099757630480776
US,438.68420000000003,207.15050505050507,251.27354444444444,71.50909684210525,429.5307090909091,240.52525252525254,236.321296,67.29010315789472
Argentina,14.164993,2.9400790000000003,22.769589865000004,2.352800247500775,14.475425426000006,3.272582200271736,29.898192859466132,2.2757169940773054
Brazil,81.63156866338797,30.126461566237325,427.1135493,55.03321481,95.50893533616393,51.4821,428.6532,55.8327
Chile,8.893309484863359,15.713685806212988,20.38775576392999,6.071738615938673,9.750718225,18.17769998976882,24.029746146516935,6.027014271093623
Colombia,0.07488,0.50259,64.33728,2.9053596564345163,0.20360000000000003,1.1998400000000002,59.83451999999999,3.087070979361112
Ecuador,0.0606,0.0385,24.63516,0.38966999999999996,0.20858000000000002,0.038329999999999996,25.34871,0.35858999999999996
Peru,1.9318692930000003,0.9091625845529538,29.74380497367233,0.4806604206557398,2.3546577533475004,1.059187794260732,29.05256715364598,0.4927498885921087
Trinidad & Tobago,2.7e-05,0.006228,0,0,2.7e-05,0.006228,0,0
Venezuela,0.0162215,0.0011385,68.51177,0,0.0162215,0.001307506,65.59177000000001,0
Central America,3.646064629966996,3.169172164070229,31.432155116548397,9.754580080243679,4.301051987967304,3.3198547524398005,25.369588630359722,9.672308662722727
Other Caribbean,2.209661052432343,2.360717356283858,1.9819904305151517,1.2029546483003835,2.102942411653821,3.046241889421755,1.6408292172727275,1.179958347871553
Other South America,5.226502000000001,0.9422419097329413,54.19422358516161,3.2668705078947373,5.248966309785477,0.959661364,60.52568584480032,4.049658077868375
Austria,7.245134083431783,3.7917043499999994,33.97806249815812,4.700456780754148,8.037559737267348,5.16403635,38.85565606481869,4.558222813938865
Belgium,12.352600000000045,6.876000000000024,0.2711,4.935800000000018,15.676437338558827,7.328769824580518,0.3922744599636592,3.4755101678546922
Bulgaria,1.499125,2.0938380000000003,3.803279,2.2435940000000003,1.583948148941251,3.4297243895689538,3.130267554206268,1.888507190969098
Croatia,2.1378000000000004,0.1519,5.4597,1.2015,2.349453401225818,0.3769323232323233,8.170579463172837,1.0625012209666664
Cyprus,0.224266,0.601859,0,0.05784,0.20847692959668251,0.825898775,0,0.049217602
Czech Republic,0.641330471,2.2983478590000046,2.093465383,5.4042437535999985,0.701410824,2.192066344999997,2.342997084000001,5.16351836
Denmark,19.027824000000003,2.202567,0.014944,7.273136,19.39485276795742,3.477122551287303,0.019684959,6.687080205555485
Estonia,0.668,0.596,0.023,1.596,0.695782263,0.7319015228187444,0.02656338,1.4219745282136629
Finland,12.021954,0.39234199999999997,13.491760000000001,12.760534,15.036280642968345,0.6652307926509187,15.17279995806814,10.981028968041835
France,37.902291,19.144035,44.270168999999996,9.733450936385609,52.311316566399995,22.24763,55.52242381210001,9.705618427
Germany,124.816,60.304,17.624171380000003,51.90259651057324,142.103,61.216,19.639000000000003,49.49100000000001
Greece,10.88325,7.139715000000001,3.8551920000000006,0.5696100000000001,11.013724484592796,8.499509179913273,3.9471162346425066,0.7019565952022578
Hungary,0.61,4.732,0.178,2.142,0.6443329999999999,6.536622,0.22191300000000003,1.5133759999999998
Iceland,0.005724646,1.9070000000000001e-06,14.195639659000001,5.9160970719999995,0.007227569,9.044999999999999e-06,14.22085234,6.00593443
Ireland,11.208432,0.14829599999999998,0.701202,1.013339,11.588839590020756,0.41515555555555556,0.9337281115393414,0.939943235
Italy,20.494200000000003,28.1215,28.397599999999997,23.452800000000003,23.530377777777776,31.227398827671312,38.92342528950633,20.310279816138443
Latvia,0.190183,0.041276,2.749823,0.801348,0.2672571631578947,0.047,3.799865140453548,0.6248084794185935
Lithuania,1.5124000000000002,0.3422,0.4643999999999999,0.7082,2.5069652815624885,0.3583707553744001,0.450282817,0.4830370800209504
Luxembourg,0.312221,0.27626799999999996,0.064091,0.358707,0.46486813320204085,0.30186949414929154,0.090332093,0.20457387699237103
Netherlands,21.400797999999998,17.078783,0.049998,9.785654000000001,28.885,21.173000000000002,0.068,8.036087456968861
North Macedonia,0.107656,0.091888005,1.345315,0.036201000000000004,0.15764699999999998,0.307467,1.622933,0.065246
Norway,14.809607,0.29968482938450935,127.61021372209761,0.23811700000000002,13.964847,0.5154472592949836,136.07480520000001,0.33815182917594305
Poland,19.779538000000002,8.30967,1.9681870000000001,7.631184,24.130008009125454,11.668760587840572,2.3963219348019766,8.246039385178129
Portugal,13.244,3.519,6.548,4.308000000000001,13.157,5.474,12.099,3.544
Romania,6.997,1.9884190000000002,13.976628,0.647008,7.625,1.862512263548203,18.237627999999997,0.28755911111111115
Slovakia,0.004,0.65,3.678,1.49,0.004,0.6037867078825347,4.745247789981249,1.8963636363636363
Slovenia,0.005731,0.645587,3.148507,0.27231099999999997,0.006424901,1.0796923665574192,4.971590322691243,0.3149904345799028
Spain,62.784,35.723,17.59,6.751516230000001,64.22751283756709,46.84725302436526,25.47504178349254,5.407505447
Sweden,33.059967,1.963,69.807996,13.105,34.320508194575474,3.0980000000000003,66.03764532386796,11.345812931099827
Switzerland,0.15,3.858,29.565131103515622,2.011,0.16800114751503645,6.043867160430116,36.97987509994548,1.986216160942633
Turkey,34.94544909341099,16.88757060708802,66.80249686360288,19.20700937,34.06972756,20.518881520235556,63.85422203,19.49014240193805
