,Country,Wind_2022,Solar_2022,Hydro_2022,OtherRenewables_2022,Total_2022,Wind_2023,Solar_2023,Hydro_2023,OtherRenewables_2023,Total_2023,Wind_GrowthRate,Solar_GrowthRate,Hydro_GrowthRate,OtherRenewables_GrowthRate,Total_GrowthRate
0,Canada,38.37638686868687,7.050284480328093,397.72524141414146,9.123262105263159,452.2751748684196,38.93629343281175,7.6416020021626005,364.1964974525872,10.384484193294151,421.15887708085575,0.014589871788626807,0.08387144142685576,-0.08430127251250219,0.13824244809358266,-0.06879948207773401
1,Mexico,20.52875,20.34204,35.55885,6.69662016,83.12626015999999,21.650982105583186,27.14334893560024,20.39942815094823,7.099757630480776,76.29351682261243,0.05466636329943064,0.33434743691391033,-0.4263192383626515,0.06020013989874795,-0.08219716999460835
2,US,438.68420000000003,207.15050505050507,251.27354444444444,71.50909684210525,968.6173463370549,429.5307090909091,240.52525252525254,236.321295959596,67.29010315789472,973.6673607336523,-0.02086578661618299,0.16111352210611507,-0.059505860507150676,-0.05899939826573708,0.005213632004108515
3,Total North America,497.5893368686869,234.54282953083316,251.27354444444444,87.32897910736841,1504.0187813654743,490.11798462930403,275.3102034630154,620.9172215631314,84.77434498166966,1471.1197546371204,-0.01501509716104421,0.1738163303211233,-0.09296575037927302,-0.029252994273045507,-0.02187407972291766
5,Argentina,14.164993,2.9400790000000003,22.769589865000004,2.352800247500775,42.22746211250078,14.475425426000006,3.272582200271736,29.898192859466132,2.2757169940773054,49.92191747981518,0.02191546624837759,0.11309328772177052,0.31307559937316976,-0.03276234499947461,0.18221448750140667
6,Brazil,81.63156866338797,30.126461566237325,427.11354928884,55.0332148115709,593.9047943300361,95.50893533616393,51.4821,428.6532,55.8327,631.4769353361639,0.17000000000000015,0.7088664689946829,0.00360478077486337,0.01452732120350353,0.06326290234533571
7,Chile,8.893309484863359,15.713685806212988,20.38775576392999,6.071738615938673,51.06648967094501,9.75071822516751,18.17769998976882,24.029746146516935,6.027014271093623,57.985178632546884,0.09641053668080302,0.1568068888447287,0.17863615911224273,-0.007365986527754331,0.13548393488926957
8,Colombia,0.07488,0.50259,64.33728,2.9053596564345163,67.82010965643452,0.20360000000000003,1.1998400000000002,59.83451999999999,3.087070979361112,64.3250309793611,1.7190170940170946,1.3873137149565258,-0.06998679459249779,0.06254348666408949,-0.051534547714223944
9,Ecuador,0.0606,0.0385,24.63516,0.38966999999999996,25.123929999999998,0.20858000000000002,0.038329999999999996,25.34871,0.35858999999999996,25.95421,2.441914191419142,-0.004415584415584539,0.02896469923475231,-0.07975979675109712,0.0330473775400586
10,Peru,1.9318692930000003,0.9091625845529538,29.74380497367233,0.4806604206557398,33.06549727188102,2.3546577533475004,1.059187794260732,29.05256715364598,0.4927498885921087,32.95916258984632,0.2188494127834868,0.16501472042159238,-0.023239724058108813,0.02515178578647248,-0.003215880322632425
11,Trinidad & Tobago,2.7e-05,0.006228,0.0,0.0,0.006255,2.7e-05,0.006228,0.0,0.0,0.006255,0.0,0.0,,,0.0
12,Venezuela,0.0162215,0.0011385000000000002,68.51177,0.0,68.52913,0.0162215,0.0013075059655937849,65.59177000000001,0.0,65.60929900596561,0.0,0.1484461709211986,-0.042620413981422245,,-0.042607151061663684
13,Central America,3.646064629966996,3.169172164070229,31.432155116548397,9.754580080243679,48.001971990829304,4.301051987967304,3.3198547524398005,25.369588630359722,9.672308662722727,42.66280403348955,0.17964227858633341,0.04754635613612335,-0.1928778495686685,-0.008434132155783813,-0.11122809617821106
14,Other Caribbean,2.209661052432343,2.360717356283858,1.9819904305151517,1.2029546483003835,7.755323487531735,2.102942411653821,3.046241889421755,1.6408292172727275,1.179958347871553,7.969971866219856,-0.048296384941504344,0.290388229371525,-0.17213060567287952,-0.019116514875536894,0.02767755323594323
15,Other South America,5.226502000000001,0.9422419097329413,54.19422358516161,3.2668705078947373,63.629838002789285,5.248966309785477,0.959661363675875,60.52568584480032,4.049658077868375,70.78397159613004,0.004298153867629884,0.01848724171892413,0.11682909802535235,0.23961389595392557,0.1124336289057839
16,Total S. & Cent. America,117.85569662365063,56.70997688709029,745.1072790236676,81.45784898853938,1001.1308015229479,134.17112595008552,82.56303349580433,749.9448098520619,82.97576722158679,1049.6547365195386,0.13843564455382307,0.4558819810522501,0.006492395074616741,0.01863440112764292,0.048469126035054266
18,Austria,7.245134083431783,3.7917043499999994,33.97806249815812,4.700456780754148,49.715357712344044,8.037559737267348,5.16403635,38.85565606481869,4.558222813938865,56.615474966024905,0.10937349739981883,0.3619301172571645,0.14355125654751433,-0.03025960527871563,0.13879246919242427
19,Belgium,12.352600000000045,6.876000000000024,0.271100000000001,4.935800000000018,24.435500000000086,15.676437338558827,7.328769824580518,0.3922744599636592,3.4755101678546922,26.8729917909577,0.2690799781874884,0.06584785116062997,0.4469732938534037,-0.2958567673214718,0.09975207345696235
20,Bulgaria,1.499125,2.0938380000000003,3.803279,2.2435940000000003,9.639836,1.583948148941251,3.4297243895689538,3.130267554206268,1.888507190969098,10.03244728368557,0.05658177199449743,0.6380084751394106,-0.17695558116923105,-0.1582669631987348,0.040728004468703505
21,Croatia,2.1378000000000004,0.1519,5.4597,1.2015,8.9509,2.349453401225818,0.3769323232323233,8.170579463172837,1.0625012209666664,11.959466408597645,0.09900523960418073,1.4814504491923848,0.4965253517909112,-0.11568770622832591,0.3361188716886172
